DATE,GDP
2003-01-01,11456.4495000000000000
2004-01-01,12217.1957500000000000
2005-01-01,13039.197000000000
2006-01-01,13815.583000000000
2007-01-01,14474.227000000000
2008-01-01,14769.861750000000
2009-01-01,14478.067250000000
2010-01-01,15048.971000000000
2011-01-01,15599.731500000000
2012-01-01,16253.970000000000
2013-01-01,16880.683250000000
2014-01-01,17608.138250000000
2015-01-01,18295.019000000000
2016-01-01,18804.913250000000
2017-01-01,19612.102500000000
2018-01-01,20656.515500000000
2019-01-01,21521.395000000000
2020-01-01,21322.949500000000
2021-01-01,23594.030750000000
2022-01-01,25744.108250000000
