DATE,Households
2003-01-01,17115.363500000000
2004-01-01,19436.162000000000
2005-01-01,22226.589500000000
2006-01-01,23833.805000000000
2007-01-01,23632.976750000000
2008-01-01,21751.596000000000
2009-01-01,19861.408250000000
2010-01-01,19130.757750000000
2011-01-01,18335.363500000000
2012-01-01,18244.058500000000
2013-01-01,19661.120500000000
2014-01-01,21168.810500000000
2015-01-01,22618.509500000000
2016-01-01,24231.304500000000
2017-01-01,26076.167250000000
2018-01-01,27926.743250000000
2019-01-01,29407.534750000000
2020-01-01,31654.383000000000
2021-01-01,36812.671750000000
2022-01-01,43130.798250000000
